months_from_rollout,estimate,ci_low,ci_high
-8,0.0005444869638895579,-0.0006118452229081435,0.0017008191506872592
-7,0.0006334755206391,-0.0005595458304874101,0.0018264968717656102
-6,0.0010992714121646069,-0.00010432434618406323,0.0023028671705132772
-5,0.000853506400193583,-0.00020260016732080775,0.0019096129677079739
-4,0.001663351859067355,0.0004673395205620082,0.0028593641975727018
-3,0.0008759820275509875,-0.00013068426013468706,0.001882648315236662
-2,0.0005490362018317511,-0.0007439900849928415,0.0018420624886563437
-1,0.0,0.0,0.0
0,0.0045671131000933575,0.0035238603796370824,0.0056103658205496326
1,0.0036363159095921496,0.0026970714303652574,0.004575560388819042
2,0.004757871337700565,0.0034736306423103513,0.006042112033090779
3,0.003916446593500729,0.0028096369757809386,0.00502325621122052
4,0.003416217095600943,0.002093110254937152,0.004739323936264734
5,0.0039336358166428,0.0022971055706575124,0.005570166062628087
6,0.00384894134304387,0.002643391785672076,0.005054490900415664
7,0.003695148367648557,0.0027323734893481707,0.004657923245948943
8,0.0038412189298560927,0.0028661625494308977,0.004816275310281288
