origin,model,h,actual,pred,abs_error,scaled_error,pct_error
129,random walk,6,14.715486399910082,9.737740131421171,4.977746268488911,4.884853480460694,33.82658332326226
129,random walk,12,11.706353144439927,9.737740131421171,1.9686130130187554,1.931875513462866,16.816620759077065
129,seasonal naive,1,10.771754604280737,9.679981665014866,1.091772939265871,1.071398692216723,10.13551625871607
129,seasonal naive,3,11.303571673427413,11.136115659068384,0.16745601435902913,0.1643310145685867,1.4814433808801069
129,seasonal naive,6,14.715486399910082,11.56140178814913,3.1540846117609522,3.095224296779025,21.43377749158346
129,seasonal naive,12,11.706353144439927,9.737740131421171,1.9686130130187554,1.931875513462866,16.816620759077065
129,ETS,1,10.771754604280737,10.604268616292941,0.16748598798779568,0.1643604288410114,1.5548626397526368
129,ETS,3,11.303571673427413,11.60456043608229,0.3009887626548764,0.2953718260293255,2.6627757256800946
129,ETS,6,14.715486399910082,9.92712552384686,4.788360876063223,4.699002325451969,32.53960314959403
129,ETS,12,11.706353144439927,10.092347785730544,1.6140053587093828,1.5838854109305838,13.787430968422253
129,SARIMA,1,10.771754604280737,10.6053688448177,0.16638575946303646,0.16328073235818852,1.5446486257393397
129,SARIMA,3,11.303571673427413,11.605625876560707,0.30205420313329334,0.2964173836669587,2.672201423231264
129,SARIMA,6,14.715486399910082,10.146216809605182,4.5692695903049,4.4839996370766855,31.05075473640355
129,SARIMA,12,11.706353144439927,10.311467648320132,1.3948854961197945,1.3688546790138785,11.915628026156995
132,random walk,1,12.63978027288232,11.303571673427413,1.3362085994549062,1.326086381636909,10.571454333914645
132,random walk,3,14.715486399910082,11.303571673427413,3.411914726482669,3.3860683548517883,23.18587801829994
132,random walk,6,19.365305943376825,11.303571673427413,8.061734269949412,8.00066399222142,41.629780048513126
132,random walk,12,9.244262229579315,11.303571673427413,2.0593094438480986,2.0437095002810595,22.276622976561896
132,seasonal naive,1,12.63978027288232,10.805286637419966,1.8344936354623531,1.8205967452825902,14.513651312421299
132,seasonal naive,3,14.715486399910082,11.56140178814913,3.1540846117609522,3.1301913877017284,21.43377749158346
132,seasonal naive,6,19.365305943376825,11.7795715903855,7.5857343529913255,7.5282699305487775,39.171776449964845
132,seasonal naive,12,9.244262229579315,11.303571673427413,2.0593094438480986,2.0437095002810595,22.276622976561896
132,ETS,1,12.63978027288232,10.516014486063705,2.1237657868186144,2.107677565340802,16.80223659722148
132,ETS,3,14.715486399910082,9.727450660913185,4.9880357389968975,4.950249734435426,33.896506057913086
132,ETS,6,19.365305943376825,9.935317015813782,9.429988927563043,9.358553672629768,48.69527471001932
132,ETS,12,9.244262229579315,11.71087776026115,2.4666155306818354,2.447930110093312,26.682665089154284
132,SARIMA,1,12.63978027288232,10.499639513548669,2.1401407593336508,2.12392849207539,16.931787682458047
132,SARIMA,3,14.715486399910082,9.948373699180719,4.767112700729363,4.731000260546439,32.39520985700135
132,SARIMA,6,19.365305943376825,10.156212819482528,9.209093123894297,9.139331227028563,47.554596611183
132,SARIMA,12,9.244262229579315,11.931799247727492,2.687537018148177,2.6671780449289324,29.072487900102338
135,random walk,1,15.823655940006423,14.715486399910082,1.1081695400963412,1.09661532661579,7.003245926844206
135,random walk,3,19.365305943376825,14.715486399910082,4.649819543466743,4.601338687688498,24.011082278083183
135,random walk,6,11.706353144439927,14.715486399910082,3.0091332554701555,2.9777588431919537,25.705129670544576
135,random walk,12,6.216545985360281,14.715486399910082,8.4989404145498,8.410327103720434,136.71483223263314
135,seasonal naive,1,15.823655940006423,12.27841653522735,3.545239404779073,3.508275337964063,22.404679539421494
135,seasonal naive,3,19.365305943376825,11.7795715903855,7.5857343529913255,7.506642489382087,39.171776449964845
135,seasonal naive,6,11.706353144439927,9.737740131421171,1.9686130130187554,1.948087475914539,16.816620759077065
135,seasonal naive,12,6.216545985360281,14.715486399910082,8.4989404145498,8.410327103720434,136.71483223263314
135,ETS,1,15.823655940006423,14.867301209655505,0.9563547303509186,0.9463833980612323,6.043829150335598
135,ETS,3,19.365305943376825,14.791375363591964,4.573930579784861,4.5262409723269075,23.61920123110269
135,ETS,6,11.706353144439927,14.748841930384486,3.0424887859445597,3.010766595726328,25.990064953658315
135,ETS,12,6.216545985360281,15.330217261627459,9.113671276267176,9.018648538583552,146.60345628793723
135,SARIMA,1,15.823655940006423,14.86065427896313,0.9630016610432932,0.9529610252278996,6.085835439637992
135,SARIMA,3,19.365305943376825,14.784782885514542,4.580523057862283,4.532764714623101,23.65324395728888
135,SARIMA,6,11.706353144439927,14.742194603745041,3.0358414593051144,3.0041885767408907,25.933281029942478
135,SARIMA,12,6.216545985360281,15.53223620288131,9.315690217521027,9.218561150534974,149.85315381659055
138,random walk,1,16.835257678529214,19.365305943376825,2.5300482648476113,2.4747426956933842,15.028271697167423
138,random walk,3,11.706353144439927,19.365305943376825,7.658952798936898,7.491531983470329,65.4256086796306
138,random walk,6,9.244262229579315,19.365305943376825,10.12104371379751,9.899802842307615,109.48460204225616
138,random walk,12,5.882844598572972,19.365305943376825,13.482461344803852,13.187741592364997,229.18268736988824
138,seasonal naive,1,16.835257678529214,9.971099045122635,6.8641586334065785,6.7141116144386155,40.77251898651221
138,seasonal naive,3,11.706353144439927,9.737740131421171,1.9686130130187554,1.925580133115977,16.816620759077065
138,seasonal naive,6,9.244262229579315,11.303571673427413,2.0593094438480986,2.014293986064508,22.276622976561896
138,seasonal naive,12,5.882844598572972,19.365305943376825,13.482461344803852,13.187741592364997,229.18268736988824
138,ETS,1,16.835257678529214,18.760934839483497,1.925677160954283,1.8835828369551766,11.438358697712056
138,ETS,3,11.706353144439927,19.2164918806276,7.510138736187674,7.3459709204969785,64.15438389328537
138,ETS,6,9.244262229579315,21.034684818251666,11.790422588672351,11.532689943451587,127.5431429340674
138,ETS,12,5.882844598572972,20.370500957399397,14.487656358826424,14.170963554278677,246.2695744562207
138,SARIMA,1,16.835257678529214,18.75215017160866,1.9168924930794446,1.874990197455211,11.38617851703064
138,SARIMA,3,11.706353144439927,19.207732012615274,7.5013788681753475,7.337402538747135,64.07955385950592
138,SARIMA,6,9.244262229579315,21.025906745810754,11.78164451623144,11.524103755212716,127.44818595185605
138,SARIMA,12,5.882844598572972,20.575220020158113,14.69237542158514,14.371207562375433,249.7495076641857
141,random walk,1,10.391910903021152,11.706353144439927,1.3144422414187744,1.2457428184376347,12.648705841354335
141,random walk,3,9.244262229579315,11.706353144439927,2.462090914860612,2.3334095473206733,26.63371996288184
141,random walk,6,6.216545985360281,11.706353144439927,5.489807159079645,5.20288197345915,88.30960427233906
141,random walk,12,4.622954312887498,11.706353144439927,7.0833988315524286,6.713184456862461,153.22234121600343
141,seasonal naive,1,10.391910903021152,10.771754604280737,0.3798437012595848,0.3599911415370765,3.6551862771374997
141,seasonal naive,3,9.244262229579315,11.303571673427413,2.0593094438480986,1.9516794802984843,22.276622976561896
141,seasonal naive,6,6.216545985360281,14.715486399910082,8.4989404145498,8.054742652158625,136.71483223263314
141,seasonal naive,12,4.622954312887498,11.706353144439927,7.0833988315524286,6.713184456862461,153.22234121600343
141,ETS,1,10.391910903021152,12.586739379717962,2.1948284766968094,2.080115600664392,21.120547483319218
141,ETS,3,9.244262229579315,13.544298655945287,4.300036426365972,4.07529469791211,46.51573397179211
141,ETS,6,6.216545985360281,12.295124869387598,6.0785788840273165,5.760881499753302,97.78064697570207
141,ETS,12,4.622954312887498,12.195823931344895,7.572869618457397,7.177073016137404,163.81017647841261
141,SARIMA,1,10.391910903021152,12.590895591609645,2.1989846885884923,2.0840545878277843,21.1605421669772
141,SARIMA,3,9.244262229579315,13.548567214115527,4.304304984536213,4.079340159567329,46.56190918906994
141,SARIMA,6,6.216545985360281,12.5190540820811,6.3025080967208185,5.973107035239916,101.38279539092889
141,SARIMA,12,4.622954312887498,12.419772940424254,7.796818627536756,7.389317313350273,168.65445989378298
144,random walk,1,8.28694448785894,9.244262229579315,0.9573177417203755,0.9102160823476633,11.552119639789133
144,random walk,3,6.216545985360281,9.244262229579315,3.0277162442190333,2.8787474609223294,48.70415583427171
144,random walk,6,5.882844598572972,9.244262229579315,3.3614176310063426,3.1960301725220135,57.13932392199747
144,random walk,12,8.272607421196671,9.244262229579315,0.9716548083826435,0.9238477409715129,11.74544806626505
144,seasonal naive,1,8.28694448785894,12.63978027288232,4.35283578502338,4.138668868944841,52.526426252772005
144,seasonal naive,3,6.216545985360281,14.715486399910082,8.4989404145498,8.080778106478807,136.71483223263314
144,seasonal naive,6,5.882844598572972,19.365305943376825,13.482461344803852,12.819101339976736,229.18268736988824
144,seasonal naive,12,8.272607421196671,9.244262229579315,0.9716548083826435,0.9238477409715129,11.74544806626505
