metric,auc_retained_90d,retention_bottom_quintile,retention_top_quintile,top_minus_bottom_pp
days_active_14d,0.7240275059325076,0.256625,0.799625,54.300000000000004
hours_14d,0.6622353409082166,0.34275,0.742875,40.012499999999996
sessions_14d,0.6620327576725547,0.376875,0.759625,38.275
titles_14d,0.6223678776883284,0.412,0.72125,30.924999999999997
watched_3_titles_14d,0.5820688486046,0.494375,0.699625,20.525000000000006
