covariate,coef,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p
days_active_14d,-0.1946,0.8232,0.8183,0.8281,0.0
hours_14d,-0.4269,0.6525,0.6321,0.6736,0.0
device_mobile,0.1187,1.126,1.0901,1.1631,0.0
device_web,0.0968,1.1017,1.0547,1.1507,0.0
channel_paid,0.046,1.0471,1.0144,1.0809,0.0045
channel_partner,-0.0786,0.9244,0.8833,0.9675,0.0007
